id,事件,结论,依据,经典原文,女命官星得地格,食伤生财,官杀透,比劫旺,身强弱,官杀有力,官印相生,食伤旺,财星透有根,配偶星透,配偶星受克,大运配偶星,寡宿,夫妻宫被冲,性别,夫妻宫破,配偶星藏,配偶星混杂,比劫重,配偶星得地,官杀取清,配偶星现,桃花,伤官克官,配偶星得令,夫妻宫被合,夫妻宫被刑,夫妻宫被害,月令本气十神,伤官旺,食神旺,印星旺,印星透,七杀现,枭神夺食,比劫夺财,日主,日主长生状态,官杀得令,财坏印,印星现,官杀多,食伤透,财星得地,财星弱,财星得令,驿马,财星透,财库现,财星入墓,正财透,偏财透,财星现,伤官现,劫财旺,正印旺,偏财旺,七杀旺,偏印旺,正财旺
cai_105,财运,财源广进（技艺/口才生财，偏财尤佳）,食伤生财 → 以才华技艺生财，财源不断（《滴天髓》食伤生财）；0103 高收入/0069 忽然赚大钱,《滴天髓》食伤生财）,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
cai_106,财运,财来财去，有财难守（比劫夺财但财得地）,比劫夺财 + 财得令（非弱）→ 财来财去、难积蓄（《滴天髓》比劫夺财分两型：财弱=破财无财，财得地=有财被劫）；0128 财来财去,《滴天髓》比劫夺财分两型：财弱=破财无财，财得地=有财被劫）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,1,,,,,,,,,,,,,,
cai_107,财运,驿马 + 比劫夺财 → 外出合伙破财（合作散财/异地财损）,驿马主动迁+比劫夺财 → 外出合作易散财（《滴天髓》比劫夺财、驿马迁移）；fangfa/fangfa/caiyun.md 破财细分,《滴天髓》比劫夺财、驿马迁移）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
cai_108,财运,比劫夺财 + 财无根 → 无蓄财观念（钱来钱去），理财/积蓄难,比劫夺财+财无根 → 财来财去无积蓄（《滴天髓》）；田宅吉星只论置产不论理财（fangfa/fangfa/caiyun.md 判据）,《滴天髓》）,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
cai_109,财运,身弱财透克印 → 得财即损根基（财为压力非财富，财坏印）,身弱不胜财，财透克印 → 得财损根基（《子平真诠》财坏印；fangfa/fangfa/caiyun.md 财印关系）,《子平真诠》财坏印,,,,,身弱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,
cai_201,财运,财库现且财星入墓 → 蓄财之象（财藏库中，善积蓄/家底实）,"财库论（《三命通会》""财库喜藏，藏则富""）——财星入库者善积蓄（参考 mingli-skills phase6）","《三命通会》""财库喜藏，藏则富""）——财星入库者善积蓄（参考 mingli-skills phase6）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
cai_202,财运,有财库但财未入库 → 财库虚设，蓄财力一般（财过手多）,财库需财星入方为实库（《三命通会》财库论；参考 mingli-skills phase6）,《三命通会》财库论,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,
cai_204,财运,中上财富（食神生财 + 身财两停——才华变现）,财富层次（参考 mingli-skills phase6：中上=食神生财+身财两停）,《滴天髓》食伤生财：食神生财而身财两停主中上财富,,1,,,身强,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cai_301,财运,正财透干 → 稳定收入（工资/工薪/实业）,正财主稳定收入（《渊海子平》正财论；参考 mingli-skills phase6 6.2）,《渊海子平》正财论,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
cai_302,财运,偏财透干 → 投资/副业/投机收入（偏门财）,偏财主投机投资（《渊海子平》偏财论；参考 mingli-skills phase6）,《渊海子平》偏财论,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
cai_303,财运,正偏财混杂 → 综合收入型（主业+副业并进）,财星混杂主多源收入（参考 mingli-skills phase6：正偏财混杂→综合收入型）,《渊海子平》正偏财论：正偏财混杂主综合收入型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
cy_301,财运,印星旺而财藏不透——财为印夺，理财无观念/财由母（长辈）代管（《三命通会》印绶夺财；0030）,印绶夺财——财藏被印化，财不由己（《三命通会》）,《三命通会》印绶夺财,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cai_304,财运,财星现（原局有财）→ 有财源命基；财为喜用时见财可得，财为忌时见财即耗（须配合用忌）,财星定有无、身强定胜负（wealth.md 开篇第一判据）；原局见财为财源之基（《渊海子平》财星论）——用忌定得失,《渊海子平》财星论,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
zy_105,职业类型,官印主公职/体制/文教（国企/公务员/教师/文职）——官印相生主名分稳定,官印类象：体制、名分、文书（《子平真诠》官印相生）；0157 国企/0141 高管印旺,《子平真诠》官印相生）,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zy_106,职业类型,比劫伤官主创业/自营（老板/个体/合伙人）——比劫自主+伤官才华不服管,比劫类象：自主竞争；伤官类象：才华不受拘束 → 创业（《子平真诠》）；0012/0088 老板伤官比劫旺,《子平真诠》）,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
zy_107,职业类型,食伤旺 + 正财旺——销售/中介/保险类职业（食伤口才+正财经营；0039 偏印旺亦做保险——偏印旺不排除销售类）,食伤生财类象：以技艺口才生财（《滴天髓》食伤生财）；0039 保险食神正财,《滴天髓》食伤生财）,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xg_201,性情,聪明外露、不拘小节、爱表现,伤官主才华外露、叛逆不拘（《滴天髓》伤官者聪明俊秀）,《滴天髓》伤官者聪明俊秀）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xg_202,性情,好胜强势、行动力强、仗义,劫财主竞争好胜、敢作敢为,《滴天髓》比劫论：比劫旺主好胜强势、行动力强,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
xg_203,性情,仁厚保守、顾虑多、重名声,正印主仁慈守成、思虑周详,《子平真诠》印绶论：印星主仁厚保守、重名声,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
xg_204,性情,威严果决、魄力强、不服输,七杀主威严魄力、雷厉风行（《滴天髓》七杀者性烈）,《滴天髓》七杀者性烈）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
xg_205,性情,温和知足、善享受、口福好,食神主温和享受、才艺从容,《渊海子平》食神论：食神主温和知足、善享受,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xg_206,性情,慷慨大方、善交际、理财活,偏财主慷慨灵活、交际广,《渊海子平》偏财论：偏财主慷慨大方、善交际,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
zy_101,职业类型,偏印主玄学/偏门/不动产/特殊行业（命理风水/殡葬/房产田宅/冷门技术/心理咨询）——偏印主神秘玄学与非主流，印亦主田宅房产,偏印类象：玄学、偏门（《子平真诠》偏印主偏业）；印主田宅不动产（0042 地产偏印旺）；0055 命理顾问/0138 入殓师,《子平真诠》偏印主偏业）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
zy_102,职业类型,食伤主技术/才艺/口才类职业（工程师/教练/创作/表演/技艺）——食伤吐秀主才华,食伤类象：技艺、才华、表达（《滴天髓》食伤泄秀）；0027 工程师/0154 教练/0123 卖艺,《滴天髓》食伤泄秀）,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
zy_103,职业类型,正财主财务/正当经营（会计/金融/出纳/稳定生意）——财星主财,正财类象：财务、正当财源（《子平真诠》财星）；0115 会计正财透,《子平真诠》财星）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
zy_104,职业类型,七杀主武职/管理/竞争性行业（军警/执法/管理/江湖）——杀主权柄威严,七杀类象：武职、权柄、竞争（《渊海子平》七杀主武）；0132 酒吧老板七杀,《渊海子平》七杀主武）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,
