assertion_id,factor,expected
yj_220,本命身弱,1
yj_220,本命印星弱,1
yj_220,三刑流年,1
ys_220,官杀为用,1
ys_220,流年官杀透,1
ys_221,官杀为忌,1
ys_221,流年干忌神,1
hun_109,配偶星现,0
hun_109,比劫旺,1
hun_109,华盖,1
hun_109,性别,male
hun_110,配偶星现,0
hun_110,华盖,1
hun_111,配偶星现,0
hun_111,华盖,1
hun_111,性别,female
yliu_110,流年母星克,1
yliu_111,流年父星克,1
jk_401,流年支冲日支,1
yj_230,流年神煞羊刃,1
yj_230,流年神煞灾煞,1
yj_230,流年神煞病符,1
ymar_130,本命华盖,1
ymar_130,本命偏印旺,1
ymar_130,流年神煞桃花,1
ycai_120,流年神煞天乙贵人,1
ycai_120,流年迁移宫禄,1
ys_230,本命官杀为用,1
ys_230,流年神煞天乙贵人,1
ymar_131,流年配偶星克,1
ymar_131,流年神煞吊客,1
yj_231,流年迁移宫忌,1
yj_231,流年神煞驿马,1
yliu_112,年柱干伏吟,1
yliu_112,流年母星克,1
hun_412,夫妻宫被冲,1
hun_412,夫妻宫被合,1
cai_312,身强弱,身强
cai_312,财星透,1
cai_312,食伤生财,1
fam_120,财星得地,1
fam_120,比劫旺,1
cai_313,大运财星运,1
zv_300,时柱食神,1
zv_301,时柱伤官,1
liu_204,印星得地,1
liu_204,印星旺,1
yj_232,流年干忌神,1
yj_232,流年神煞病符,1
yj_232,流年神煞大耗,1
hun_420,流年配偶星透,1
hun_420,流年子女星透,1
liu_205,年柱官杀攻身,1
liu_205,偏财得地,1
wai_201,日主五行,木
xue_310,印星透根,1
xue_310,官印相生,1
xue_311,印星弱,1
yjz_210,流年母星克,1
hun_500,偏财得地,1
hun_500,性别,female
fam_121,印有气,1
fam_121,财星旺,0
hun_208,配偶星混杂,0
xg_509,偏印旺,1
xg_509,食伤现,1
xg_509,食伤透,0
liu_306,偏财得地,1
liu_306,印星得地,1
dy_100,大运印星运,1
dy_100,印为用,1
dy_101,食伤为忌,1
xue_400,大运印星运,1
xue_400,印为用,1
xue_401,大运比劫运,1
xue_401,比劫为忌,1
zy_110,官杀为忌,1
zy_110,食伤旺,1
yz_110,流年子女星值宫,1
yz_110,流年子女星透,1
dy_100,大运官杀运,1
dy_100,官杀为用,1
xue_401,大运食伤运,1
ymar_120,流年支半合日支,1
fam_122,正财旺,1
fam_122,七杀现,1
xue_312,印星旺,1
xue_312,财坏印,1
zy_111,食伤生财,1
zy_111,比劫旺,0
hun_510,偏财得地,1
hun_510,财星现,1
ys_240,流年母星透,1
ys_240,流年日主长生状态,长生
liu_310,流年支冲年支,1
liu_310,财印相战,1
yj_240,流年神煞驿马,1
yj_240,流年神煞灾煞,1
dy_110,食伤为忌,1
dy_110,身强弱,身弱
dy_103,流年官杀换运首年,1
dy_103,官杀为用,1
jk_120,火弱,1
jk_113,木弱,1
xue_320,正印旺,1
xue_320,印为用,1
xue_321,偏印旺,1
xue_321,正印旺,0
fam_123,年柱伤官,1
fam_123,食伤生财,1
fam_124,年柱伤官,1
fam_124,年柱正官,1
fam_124,财星透,0
fam_122,年柱正财,1
fam_122,年柱七杀,1
